scope,correct_n,incorrect_n,correct_mean,incorrect_mean,correct_median,incorrect_median,mean_difference_correct_minus_incorrect,bootstrap_ci95_lower,bootstrap_ci95_upper,mann_whitney_u,p_value_two_sided,cliffs_delta,effect_magnitude
All models,45,45,2.644444,0.888889,3.0,1.0,1.755556,1.422222,2.066667,1827.0,0.0,0.804444,large
Qwen 2.5 3B,15,15,2.733333,0.733333,3.0,1.0,2.0,1.466667,2.466667,214.0,8e-06,0.902222,large
Llama 3.2 3B,15,15,2.666667,0.733333,3.0,1.0,1.933333,1.4,2.4,211.5,1.7e-05,0.88,large
DeepSeek-R1 Distill 1.5B,15,15,2.533333,1.2,3.0,1.0,1.333333,0.666667,1.933333,183.0,0.001479,0.626667,large
